np,trial,elapsed_seconds
1,1,2.589576
1,2,2.555480
1,3,2.586256
1,4,2.545341
1,5,2.653264
1,6,2.804607
1,7,2.756027
1,8,2.568764
1,9,2.578242
1,10,2.628329
2,1,1.404994
2,2,1.506314
2,3,1.476550
2,4,1.443509
2,5,1.709117
2,6,2.078465
2,7,2.117177
2,8,1.851994
2,9,1.759897
2,10,2.149695
3,1,1.578252
3,2,1.235147
3,3,1.748712
3,4,1.928986
3,5,1.354273
3,6,1.210871
3,7,1.438923
3,8,1.361795
3,9,1.541867
3,10,1.453798
4,1,1.065572
4,2,1.065853
4,3,0.988503
4,4,1.162864
4,5,1.346756
4,6,1.021710
4,7,0.999246
4,8,0.954139
4,9,1.109439
4,10,1.440482
5,1,0.957832
5,2,1.061559
5,3,0.804178
5,4,0.813853
5,5,0.734788
5,6,0.809525
5,7,0.803797
5,8,0.797879
5,9,0.807270
5,10,0.835894
