np,trial,elapsed_seconds
1,1,21.597074
1,2,23.505525
1,3,22.485884
1,4,21.418110
1,5,21.615491
1,6,21.734411
1,7,21.696959
1,8,27.182373
1,9,33.948014
1,10,33.751222
2,1,17.092962
2,2,16.003352
2,3,17.117332
2,4,17.773811
2,5,18.435700
2,6,18.078254
2,7,17.252631
2,8,16.720372
2,9,16.776617
2,10,16.989857
3,1,12.055471
3,2,11.981396
3,3,11.963380
3,4,12.107485
3,5,11.969605
3,6,12.154076
3,7,12.043782
3,8,12.209694
3,9,12.091644
3,10,11.958329
4,1,9.565932
4,2,9.528832
4,3,9.746888
4,4,9.502879
4,5,9.574975
4,6,9.585568
4,7,9.647341
4,8,9.561931
4,9,9.593537
4,10,9.600224
5,1,8.124005
5,2,8.342951
5,3,7.686382
5,4,8.109587
5,5,8.014594
5,6,9.668887
5,7,8.283403
5,8,8.278417
5,9,8.113968
5,10,8.910194
