np,trial,elapsed_seconds
2,1,29.311981
2,2,29.630994
2,3,29.607854
2,4,29.564794
2,5,29.268131
2,6,29.242558
2,7,29.448542
2,8,29.440350
2,9,29.226095
2,10,29.413413
3,1,25.015854
3,2,25.226336
3,3,25.352909
3,4,25.081340
3,5,27.453761
3,6,28.596806
3,7,26.222178
3,8,25.168669
3,9,25.032134
3,10,27.693622
4,1,19.764426
4,2,18.423107
4,3,17.227999
4,4,17.063089
4,5,17.159803
4,6,16.775007
4,7,18.274444
4,8,16.975960
4,9,16.595727
4,10,17.179238
5,1,15.013343
5,2,14.861391
5,3,15.014108
5,4,15.264643
5,5,14.689010
5,6,15.134655
5,7,15.094920
5,8,15.177652
5,9,14.752793
5,10,17.212613
6,1,17.343162
6,2,18.463767
6,3,18.135211
6,4,20.695418
6,5,18.243693
6,6,16.606647
6,7,17.535555
6,8,17.725220
6,9,20.316220
6,10,19.565821
