np,trial,elapsed_seconds
1,1,0.048499
1,2,0.047170
1,3,0.043620
1,4,0.047748
1,5,0.045751
1,6,0.046561
1,7,0.044925
1,8,0.051561
1,9,0.052399
1,10,0.045183
2,1,0.027761
2,2,0.025783
2,3,0.023965
2,4,0.024883
2,5,0.024212
2,6,0.023919
2,7,0.026912
2,8,0.027282
2,9,0.026770
2,10,0.027809
3,1,0.015610
3,2,0.015471
3,3,0.015210
3,4,0.015580
3,5,0.017417
3,6,0.015811
3,7,0.015584
3,8,0.021066
3,9,0.021475
3,10,0.017010
4,1,0.016563
4,2,0.015859
4,3,0.019621
4,4,0.013149
4,5,0.017608
4,6,0.032914
4,7,0.017075
4,8,0.015099
4,9,0.018171
4,10,0.013112
5,1,0.017567
5,2,0.013545
5,3,0.026943
5,4,0.015264
5,5,0.022085
5,6,0.019816
5,7,0.012997
5,8,0.017711
5,9,0.012453
5,10,0.016342
