np,trial,elapsed_seconds
1,1,0.064954
1,2,0.061467
1,3,0.062022
1,4,0.061869
1,5,0.062050
1,6,0.061835
1,7,0.061022
1,8,0.061651
1,9,0.062070
1,10,0.067845
2,1,0.030945
2,2,0.031155
2,3,0.030147
2,4,0.031011
2,5,0.031980
2,6,0.032297
2,7,0.035314
2,8,0.048842
2,9,0.031318
2,10,0.032332
3,1,0.021965
3,2,0.022724
3,3,0.021184
3,4,0.021755
3,5,0.022400
3,6,0.021348
3,7,0.021825
3,8,0.021185
3,9,0.021849
3,10,0.022945
4,1,0.016021
4,2,0.018300
4,3,0.018640
4,4,0.015967
4,5,0.016941
4,6,0.016135
4,7,0.016650
4,8,0.018313
4,9,0.015749
4,10,0.016257
5,1,0.012476
5,2,0.013101
5,3,0.014374
5,4,0.012275
5,5,0.012574
5,6,0.013250
5,7,0.016361
5,8,0.012355
5,9,0.012250
5,10,0.012784
